bioclimatic_zone,structure,category,physiography_limit,code,color_class,color,broad_class,map_class,target,macrogroup_code,macrogroup,group_code,group
3. Boreal,shrub,wet vegetation,none,242,Shrub,A500D5,Birch-Willow Wet,Alaska-Yukon Willow Wet,subgroup,M894,"North American Boreal Marsh, Wet Meadow & Shrubland",G865,Western Boreal Wet Birch - Willow Low Shrubland
1. Temperate,shrub,mesic vegetation,none,64,Shrub,FF00C5,Salmonberry Mesic,Alaska Pacific Salmonberry Mesic,subgroup,M172,North Pacific Coastal Lowland-Montane Grassland & Shrubland,G354,Alaska Pacific Alder - Salmonberry - Willow Shrubland
4. Arctic,various,complex,none,254,Tussock,6A003B,Tussock Polygonal Complex,Arctic Tussock Tundra Polygonal Complex,complex,complex,complex,complex,complex
4. Arctic,dwarf shrub,tussock tundra,none,272,Tussock,730000,Tussock Tundra,Arctic Tussock Dwarf Shrub Tundra,subgroup,M173,Arctic Dry-Moist Tundra,G1198,Arctic Tussock Tundra
4. Arctic,shrub,tussock tundra,none,274,Tussock,730000,Tussock Tundra,Arctic Tussock Low Shrub Tundra,subgroup,M173,Arctic Dry-Moist Tundra,G1198,Arctic Tussock Tundra
1. Temperate,herbaceous,tidal marsh,coastal,44,Z,000000,N/A,Alaska Pacific Coastal Algal Flat,group,M106,Temperate Pacific Seaweed Intertidal Vegetation,G385,North American Pacific Intertidal Algal Flat
1. Temperate,NULL,NULL,NULL,77,Z,000000,N/A,Alaska Pacific Freshwater Aquatic Vegetation,omit,M109,Western North American Freshwater Aquatic Vegetation,G544,Western Temperate Freshwater Aquatic Vegetation
1. Temperate,shrub,dry vegetation,none,66,Z,000000,N/A,Alaska Pacific Shrub Dry,omit,M172,North Pacific Coastal Lowland-Montane Grassland & Shrubland,G354,Alaska Pacific Alder - Salmonberry - Willow Shrubland
3. Boreal,NULL,NULL,NULL,229,Z,000000,N/A,Arctic-Boreal Freshwater Aquatic Vegetation,omit,M871,Boreal Freshwater Aquatic Vegetation,G769,North American Boreal Freshwater Aquatic Vegetation
4. Arctic,NULL,NULL,NULL,301,Z,000000,N/A,Arctic Coastal Rocky Shore,omit,M402,North American Arctic Coastal Shore,G611,Arctic Coastal Rocky Shore
4. Arctic,various,complex,none,256,Z,000000,N/A,Arctic Peatland Polygonal Complex,complex,complex,complex,complex,complex
4. Arctic,unvegetated,barren,coastal,304,Z,000000,N/A,Arctic Salt-intruded Tundra,alliance,M402,North American Arctic Coastal Shore,G864,Arctic Coastal Dune & Beach
4. Arctic,various,wet vegetation,riverine,316,Z,000000,N/A,Arctic Stream Corridor,,M870,Arctic Freshwater Marsh and Riverine Herbaceous & Shrubland,G1204,Arctic Shrub & Graminoid Floodplain
4. Arctic,NULL,NULL,NULL,277,Z,000000,N/A,High Arctic Herbaceous (Nontussock) Tundra,omit,M173,Arctic Dry-Moist Tundra,G1200,High Arctic Graminoid - Forb Tundra
